run_id,rank,class_id,class_name,confidence,x1,y1,x2,y2,width,height,area
"29189940-6006-4ab2-bf8f-48392b90315a",1,1,"brown_eye_spot",0.965101,253.286819,354.677490,548.570251,609.151855,295.283447,254.474365,75142.070313
"fdbbd640-2a78-4c39-be87-4d243862c711",0,4,"phoma",0.968179,94.060852,96.232452,568.766724,507.710510,474.705872,411.478058,195331.046875
"20b72981-3680-443a-be0b-23770e0a02b6",0,3,"miner",0.974731,10.253815,183.938156,479.755066,525.690552,469.501251,341.752380,160453.171875
"6abb20bd-960d-47b6-a352-5704c8e8a77c",0,2,"healthy",0.956890,77.047241,149.313843,570.820923,556.139343,493.773682,406.825500,200879.718750
"31025306-c6cc-41dc-9468-aaae2af2418b",0,1,"brown_eye_spot",0.973992,12.275024,102.493134,587.843140,633.715515,575.568115,531.222412,305754.687500
"70970d84-55f7-4c70-8da4-8ff40f64b1dd",0,3,"miner",0.917473,59.595581,169.128998,618.305786,490.286926,558.710205,321.157928,179434.218750
"c6383ce5-464b-4189-83bf-ff5b4dd26967",0,2,"healthy",0.976352,96.246887,128.305115,595.023865,507.449829,498.776978,379.144714,189108.656250
"d77a4d3b-1518-4201-9167-e652faf4cd8b",0,4,"phoma",0.966785,82.219727,148.074066,556.824829,552.040649,474.605103,403.966583,191724.609375
"b7e058c5-c14d-4cc5-bdc1-6e996590d0c2",0,0,"algal_spot",0.979845,93.915390,114.182892,544.965637,483.245789,451.050232,369.062897,166465.906250
"403b0ece-6b92-40ee-bb1b-da39d0274d7f",0,3,"miner",0.964823,131.768890,61.710388,520.898987,576.454956,389.130096,514.744568,200302.609375
"60abdde6-2ba7-4b39-8dbd-dbd3506bd320",0,2,"healthy",0.974096,99.099670,113.075150,591.841064,537.453064,492.741394,424.377930,209108.578125
"cb8cf032-9e42-46a8-a0fd-617fbc287df3",0,1,"brown_eye_spot",0.960040,1.214355,226.592178,627.445923,486.279663,626.231567,259.687500,162624.515625
