epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1536.21,0.46819,0.45641,0.01495,0.92983,0.89013,0.96087,0.8689,0.49778,0.33195,0.01477,0.0005776,0.0005776,0.0005776
130,1551.58,0.46559,0.44647,0.01499,0.96126,0.91358,0.97314,0.88616,0.48167,0.26991,0.01432,0.0005743,0.0005743,0.0005743
131,1562.22,0.46894,0.47112,0.01487,0.93122,0.90694,0.96492,0.88099,0.48184,0.32042,0.01436,0.000571,0.000571,0.000571
132,1572.78,0.44615,0.4653,0.01442,0.92885,0.93203,0.97862,0.89498,0.47378,0.26544,0.01395,0.0005677,0.0005677,0.0005677
133,1583.38,0.43293,0.43955,0.01395,0.9175,0.88884,0.96132,0.87643,0.47895,0.33981,0.01409,0.0005644,0.0005644,0.0005644
134,1594.02,0.43414,0.45111,0.01412,0.85667,0.86247,0.93958,0.85158,0.48531,0.46284,0.01442,0.0005611,0.0005611,0.0005611
135,1604.71,0.44043,0.45241,0.01458,0.9404,0.90473,0.96643,0.87469,0.49596,0.31112,0.01495,0.0005578,0.0005578,0.0005578
136,1615.53,0.43856,0.44525,0.0145,0.92933,0.89183,0.9545,0.86321,0.5117,0.36838,0.01541,0.0005545,0.0005545,0.0005545
137,1626.1,0.44566,0.44967,0.01482,0.93983,0.93407,0.9688,0.88069,0.48929,0.29628,0.01458,0.0005512,0.0005512,0.0005512
138,1639.77,0.42851,0.44024,0.0145,0.93486,0.90949,0.96808,0.88107,0.49855,0.31493,0.01489,0.0005479,0.0005479,0.0005479
139,1656.45,0.42024,0.4388,0.01451,0.95948,0.91524,0.96897,0.88245,0.48593,0.30477,0.01444,0.0005446,0.0005446,0.0005446
140,1668.91,0.438,0.44338,0.01503,0.93533,0.88537,0.96992,0.87897,0.49634,0.35256,0.0148,0.0005413,0.0005413,0.0005413
141,1679.57,0.43237,0.437,0.01508,0.94445,0.92749,0.9763,0.88739,0.49608,0.271,0.01485,0.000538,0.000538,0.000538
142,1690.19,0.41714,0.43074,0.01447,0.96698,0.9105,0.97349,0.89595,0.46475,0.28025,0.01371,0.0005347,0.0005347,0.0005347
143,1701.1,0.41109,0.42039,0.01433,0.93805,0.90297,0.97022,0.88638,0.47155,0.30213,0.01386,0.0005314,0.0005314,0.0005314
144,1711.76,0.41441,0.42351,0.01483,0.9289,0.88771,0.95927,0.86464,0.51187,0.36051,0.01541,0.0005281,0.0005281,0.0005281
145,1722.5,0.42487,0.43397,0.01509,0.93163,0.91404,0.96325,0.86985,0.5065,0.33127,0.01531,0.0005248,0.0005248,0.0005248
146,1733.13,0.4107,0.41885,0.01442,0.93388,0.926,0.97271,0.88679,0.47523,0.27846,0.01405,0.0005215,0.0005215,0.0005215
147,1743.66,0.41007,0.42332,0.01437,0.94029,0.89963,0.97116,0.86297,0.53693,0.32742,0.01661,0.0005182,0.0005182,0.0005182
148,1756.67,0.40008,0.414,0.01427,0.95223,0.92069,0.97112,0.88927,0.46797,0.27989,0.01381,0.0005149,0.0005149,0.0005149
149,1773.11,0.40424,0.43067,0.01488,0.88341,0.93411,0.97229,0.89366,0.45504,0.29875,0.01329,0.0005116,0.0005116,0.0005116
150,1785.54,0.38339,0.40435,0.01371,0.96643,0.93367,0.97259,0.89355,0.46775,0.26236,0.01378,0.0005083,0.0005083,0.0005083
151,1796.34,0.37982,0.41022,0.01386,0.92199,0.90302,0.96079,0.8842,0.4632,0.35483,0.01367,0.000505,0.000505,0.000505
152,1806.76,0.38931,0.40943,0.01424,0.96628,0.9221,0.97075,0.88724,0.48097,0.26709,0.01426,0.0005017,0.0005017,0.0005017
